step_number	stage_name	input	process	output	files_used	website_visual_element	warnings
1	System overview	Independent three-branch model package	Load pretrained artifacts and reference tables for Branch A, Branch B, Branch C, mapping, subtype names, and outputs configuration	Ready-to-run predictor context	inshalllahsonmodel_v2/inshalllahsonmodel_predictor.py; inshalllahsonmodel_v2/artifacts/*; inshalllahsonmodel_v2/reference_tables/*	System architecture overview card	Primary website workflow should follow V2 if audited behavior is desired
2	User input	One GDC/STAR augmented gene-count TSV	User provides raw RNA-seq file; sample ID is extracted from filename basename before first period	Input sample path and sample ID	rawdata/*.rna_seq.augmented_star_gene_counts.tsv; inshalllahsonmodel_v2/inshalllahsonmodel_predictor.py	Upload panel plus sample ID extraction widget	Input must match expected TSV structure
3	Raw file loading	Input sample file	Read TSV with comment filtering; remove technical rows; keep ENSG rows; set gene_id index; extract raw counts and TPM when available	Numeric raw-count series and optional TPM series	inshalllahsonmodel_v2/inshalllahsonmodel_predictor.py	Raw file QC checklist	Explicit TPM sum and row-count reporting are not produced by current predictor code
4	Branch A preprocessing	TPM series	Align to Branch A gene list with exact and version-stripped matching; fill missing genes with zero; apply log2(TPM+1); scale; PCA transform	Branch A PCA-space sample vector and feature coverage	inshalllahsonmodel_v2/inshalllahsonmodel_predictor.py; artifacts/Branch_A_gene_list.tsv; artifacts/Branch_A_scaler.joblib; artifacts/Branch_A_pca.joblib	Branch A processing card	Branch A skips if TPM is unavailable or coverage is below 60%
5	Branch A cluster call	Branch A PCA-space vector	Compute Euclidean distances to Branch A centroids; choose nearest centroid; compute relative distance confidence	Raw Branch A cluster and confidence	inshalllahsonmodel_v2/inshalllahsonmodel_predictor.py; artifacts/Branch_A_centroids.tsv	Centroid distance bar chart	Branch A source metadata says K=4 in metrics but runtime artifacts use 5 clusters; V2 follows runtime artifacts
6	Branch B preprocessing	Raw count series	Align to Branch B gene list; compute CPM from library size; apply log2(CPM+1); scale; PCA transform	Branch B PCA-space sample vector and feature coverage	inshalllahsonmodel_v2/inshalllahsonmodel_predictor.py; artifacts/Branch_B_gene_list.tsv; artifacts/Branch_B_scaler.joblib; artifacts/Branch_B_pca.joblib	Branch B processing card	Branch B skips if coverage is below 60%
7	Branch B cluster call	Branch B PCA-space vector	Compute Euclidean distances to Branch B centroids; choose nearest centroid; compute relative distance confidence	Raw Branch B cluster and confidence	inshalllahsonmodel_v2/inshalllahsonmodel_predictor.py; artifacts/Branch_B_centroids.tsv	Centroid distance bar chart	Raw Branch B cluster is not yet the final shared class
8	Branch C preprocessing	Raw count series	Require --enable_branch_C_approx; align to Branch C gene list; apply approximate log2(count+1) proxy; scale; PCA transform	Branch C PCA-space sample vector and feature coverage	inshalllahsonmodel_v2/inshalllahsonmodel_predictor.py; artifacts/Branch_C_gene_list.tsv; artifacts/Branch_C_scaler.joblib; artifacts/Branch_C_pca.joblib	Branch C processing card	Approximate single-sample proxy is not true DESeq2 VST
9	Branch C cluster call	Branch C PCA-space vector	Compute Euclidean distances to Branch C centroids; choose nearest centroid; compute relative distance confidence	Raw Branch C cluster and confidence	inshalllahsonmodel_v2/inshalllahsonmodel_predictor.py; artifacts/Branch_C_centroids.tsv	Centroid distance bar chart	Branch C is skipped if approximation flag is absent or coverage is below 60%
10	Branch-to-consensus mapping	Raw Branch A/B/C clusters	Map each raw branch cluster into shared class space using audited alignment table; attach purity and reliability metadata	Mapped shared class per branch plus mapping purity and reliability	inshalllahsonmodel_v2/reference_tables/branch_to_consensus_alignment.tsv; inshalllahsonmodel_v2/reference_tables/v2_branch_mapping_reliability.tsv	Mapping lanes from branch clusters to shared classes	Mapping is lossy; some raw clusters have moderate or low purity
11	Final voting	Mapped shared-class votes and branch confidence values	Count unweighted votes; compute weighted sums using confidence * purity * penalty; resolve ties and uncertainty; assign subtype name	Final shared class, subtype name, decision status, weighted margin	inshalllahsonmodel_v2/inshalllahsonmodel_predictor.py; inshalllahsonmodel_v2/reference_tables/v2_voting_policy.tsv; inshalllahsonmodel_v2/reference_tables/final_class_subtype_name_map.tsv	Voting dashboard with agreement badge	Base package uses simple majority only; V2 adds deterministic weighted handling
12	Warnings and reliability	Branch results and mapping metadata	Flag Branch C approximate mode; flag low confidence; flag low mapping purity; retain uncertainty if needed	Runtime warnings and reliability context	inshalllahsonmodel_v2/inshalllahsonmodel_predictor.py; outputs/*/warning_report.txt	Warning banner stack	Current code returns predicted or uncertain only; finer uncertainty labels in policy text need verification
13	Output generation	Final decision plus branch details	Create sample-specific output folder; write summary text and JSON, branch tables, centroid distances, voting table, mapping reliability, warnings, run log, and class Excel files	Output directory with downloadable reports and class index workbooks	inshalllahsonmodel_v2/inshalllahsonmodel_predictor.py; outputs/<sample_id>_<timestamp>/*	Output files panel	Class Excel files index training samples by class; they do not embed full raw matrices in audited V2
