unified_sample_key	raw_file_name	raw_file_path	branch_A_cluster_label	branch_B_cluster_label	branch_C_cluster_label	branch_only_consensus_class	confidence_or_agreement_score	notes
0	44aa45ef-4bcd-47eb-a2ef-68b614d00a51.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/44aa45ef-4bcd-47eb-a2ef-68b614d00a51.rna_seq.augmented_star_gene_counts.tsv	4	3	1	2	1.0	Consensus derived from A/B/C co-association matrix (K=4)
1	6efd1a34-3261-4ad3-87cc-da685ba06d2b.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/6efd1a34-3261-4ad3-87cc-da685ba06d2b.rna_seq.augmented_star_gene_counts.tsv	0	0	0	0	1.0	Consensus derived from A/B/C co-association matrix (K=4)
2	1652c5be-f06b-4600-a1e9-3efbfa73eb4e.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/1652c5be-f06b-4600-a1e9-3efbfa73eb4e.rna_seq.augmented_star_gene_counts.tsv	0	0	0	0	1.0	Consensus derived from A/B/C co-association matrix (K=4)
3	f54636e5-d823-4bc2-9475-2f4f81879067.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/f54636e5-d823-4bc2-9475-2f4f81879067.rna_seq.augmented_star_gene_counts.tsv	4	3	1	2	1.0	Consensus derived from A/B/C co-association matrix (K=4)
4	32ee07e4-bec3-4d00-b603-60933581046c.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/32ee07e4-bec3-4d00-b603-60933581046c.rna_seq.augmented_star_gene_counts.tsv	3	2	2	1	1.0	Consensus derived from A/B/C co-association matrix (K=4)
5	887aaafb-3913-4418-9991-1c48d4ab7629.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/887aaafb-3913-4418-9991-1c48d4ab7629.rna_seq.augmented_star_gene_counts.tsv	2	0	2	1	1.0	Consensus derived from A/B/C co-association matrix (K=4)
6	d561fbb1-a288-4a37-98de-65247968fa40.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/d561fbb1-a288-4a37-98de-65247968fa40.rna_seq.augmented_star_gene_counts.tsv	3	2	2	1	1.0	Consensus derived from A/B/C co-association matrix (K=4)
7	0db34205-31a0-49e3-972d-ec4e4f7c03c5.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/0db34205-31a0-49e3-972d-ec4e4f7c03c5.rna_seq.augmented_star_gene_counts.tsv	1	1	3	3	1.0	Consensus derived from A/B/C co-association matrix (K=4)
8	d7278caf-2bf9-48fb-adfa-d30c7b988000.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/d7278caf-2bf9-48fb-adfa-d30c7b988000.rna_seq.augmented_star_gene_counts.tsv	3	2	2	1	1.0	Consensus derived from A/B/C co-association matrix (K=4)
9	32d1cf3b-2920-479e-8025-aaacae8f8011.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/32d1cf3b-2920-479e-8025-aaacae8f8011.rna_seq.augmented_star_gene_counts.tsv	3	2	2	1	1.0	Consensus derived from A/B/C co-association matrix (K=4)
10	5d732c32-681d-46ca-b0bd-404ab47c64db.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/5d732c32-681d-46ca-b0bd-404ab47c64db.rna_seq.augmented_star_gene_counts.tsv	4	3	1	2	1.0	Consensus derived from A/B/C co-association matrix (K=4)
11	026ed595-4218-4379-8e2d-54b390cb2544.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/026ed595-4218-4379-8e2d-54b390cb2544.rna_seq.augmented_star_gene_counts.tsv	0	2	2	1	1.0	Consensus derived from A/B/C co-association matrix (K=4)
12	19f6db33-bd74-44aa-9f00-c31903e88abf.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/19f6db33-bd74-44aa-9f00-c31903e88abf.rna_seq.augmented_star_gene_counts.tsv	1	3	3	3	1.0	Consensus derived from A/B/C co-association matrix (K=4)
13	7412a444-9fad-4d96-a4d4-2c270045919a.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/7412a444-9fad-4d96-a4d4-2c270045919a.rna_seq.augmented_star_gene_counts.tsv	4	3	1	2	1.0	Consensus derived from A/B/C co-association matrix (K=4)
14	d9548857-ab3c-4cf6-8608-4d5951f63c8b.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/d9548857-ab3c-4cf6-8608-4d5951f63c8b.rna_seq.augmented_star_gene_counts.tsv	3	2	2	1	1.0	Consensus derived from A/B/C co-association matrix (K=4)
15	69804564-72f3-443e-a45e-add43d917b2c.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/69804564-72f3-443e-a45e-add43d917b2c.rna_seq.augmented_star_gene_counts.tsv	1	1	3	3	1.0	Consensus derived from A/B/C co-association matrix (K=4)
16	2be90092-0bf2-493c-8864-b9bd3efa2fcc.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/2be90092-0bf2-493c-8864-b9bd3efa2fcc.rna_seq.augmented_star_gene_counts.tsv	2	0	2	1	1.0	Consensus derived from A/B/C co-association matrix (K=4)
17	bef48b88-125f-4087-b4be-02c996ecc3d3.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/bef48b88-125f-4087-b4be-02c996ecc3d3.rna_seq.augmented_star_gene_counts.tsv	3	2	2	1	1.0	Consensus derived from A/B/C co-association matrix (K=4)
18	748dc14a-ff43-4b5d-b197-b7c021955fed.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/748dc14a-ff43-4b5d-b197-b7c021955fed.rna_seq.augmented_star_gene_counts.tsv	0	0	0	0	1.0	Consensus derived from A/B/C co-association matrix (K=4)
19	e2304515-3868-4f25-9967-900a3ae600be.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/e2304515-3868-4f25-9967-900a3ae600be.rna_seq.augmented_star_gene_counts.tsv	3	0	2	1	1.0	Consensus derived from A/B/C co-association matrix (K=4)
20	e044dbf9-7587-48b7-b58a-b4f5d9401309.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/e044dbf9-7587-48b7-b58a-b4f5d9401309.rna_seq.augmented_star_gene_counts.tsv	2	2	2	1	1.0	Consensus derived from A/B/C co-association matrix (K=4)
21	e3ca6a99-2907-4509-a416-eb7362b0b606.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/e3ca6a99-2907-4509-a416-eb7362b0b606.rna_seq.augmented_star_gene_counts.tsv	2	2	2	1	1.0	Consensus derived from A/B/C co-association matrix (K=4)
22	af0700ee-8602-4f6c-b104-dd4d19da99a8.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/af0700ee-8602-4f6c-b104-dd4d19da99a8.rna_seq.augmented_star_gene_counts.tsv	2	2	2	1	1.0	Consensus derived from A/B/C co-association matrix (K=4)
23	59f436d5-7a66-40a8-9bca-b1e354452492.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/59f436d5-7a66-40a8-9bca-b1e354452492.rna_seq.augmented_star_gene_counts.tsv	3	2	2	1	1.0	Consensus derived from A/B/C co-association matrix (K=4)
24	df47f95a-fb4a-4ea2-a929-c1d1971997a0.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/df47f95a-fb4a-4ea2-a929-c1d1971997a0.rna_seq.augmented_star_gene_counts.tsv	1	1	3	3	1.0	Consensus derived from A/B/C co-association matrix (K=4)
25	a9b55a15-9678-4a04-9041-8e2f5a2b14f1.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/a9b55a15-9678-4a04-9041-8e2f5a2b14f1.rna_seq.augmented_star_gene_counts.tsv	0	2	0	0	1.0	Consensus derived from A/B/C co-association matrix (K=4)
26	54c6eff1-866a-4b26-9778-6b085fc25123.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/54c6eff1-866a-4b26-9778-6b085fc25123.rna_seq.augmented_star_gene_counts.tsv	4	3	3	2	1.0	Consensus derived from A/B/C co-association matrix (K=4)
27	36fa95b5-2cf1-4033-91ee-832547ff52fd.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/36fa95b5-2cf1-4033-91ee-832547ff52fd.rna_seq.augmented_star_gene_counts.tsv	0	0	0	0	1.0	Consensus derived from A/B/C co-association matrix (K=4)
28	39c60ad1-540a-4ad9-a735-b83f5d1c51f1.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/39c60ad1-540a-4ad9-a735-b83f5d1c51f1.rna_seq.augmented_star_gene_counts.tsv	1	1	3	3	1.0	Consensus derived from A/B/C co-association matrix (K=4)
29	b198a226-f734-46c8-93db-0914f0fa6805.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/b198a226-f734-46c8-93db-0914f0fa6805.rna_seq.augmented_star_gene_counts.tsv	1	1	3	3	1.0	Consensus derived from A/B/C co-association matrix (K=4)
30	6a87346a-157b-467c-be80-572ab377080c.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/6a87346a-157b-467c-be80-572ab377080c.rna_seq.augmented_star_gene_counts.tsv	0	0	0	0	1.0	Consensus derived from A/B/C co-association matrix (K=4)
31	9e09a872-f5f7-4cc1-bb08-07045fcd0c28.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/9e09a872-f5f7-4cc1-bb08-07045fcd0c28.rna_seq.augmented_star_gene_counts.tsv	0	0	0	0	1.0	Consensus derived from A/B/C co-association matrix (K=4)
32	f60c516c-6be7-4dda-9e46-46a87039c099.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/f60c516c-6be7-4dda-9e46-46a87039c099.rna_seq.augmented_star_gene_counts.tsv	4	3	1	2	1.0	Consensus derived from A/B/C co-association matrix (K=4)
33	4ebf51c8-f12e-4c83-9bba-414e5ba20e7c.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/4ebf51c8-f12e-4c83-9bba-414e5ba20e7c.rna_seq.augmented_star_gene_counts.tsv	0	0	0	0	1.0	Consensus derived from A/B/C co-association matrix (K=4)
34	2426bdbe-9a09-4ea1-b5eb-1ecb2c492898.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/2426bdbe-9a09-4ea1-b5eb-1ecb2c492898.rna_seq.augmented_star_gene_counts.tsv	2	2	2	1	1.0	Consensus derived from A/B/C co-association matrix (K=4)
35	51aea3a7-011d-4f8b-af00-fc7c169591d9.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/51aea3a7-011d-4f8b-af00-fc7c169591d9.rna_seq.augmented_star_gene_counts.tsv	2	0	0	0	1.0	Consensus derived from A/B/C co-association matrix (K=4)
